year,name,id,seq,YYYYMMDDHH,I,LAT,LON,Pressure,WND,OWD,replaceName
1981,Holly,198103,1,1981042900,0,5.5,162.8,1003,10,,False
1981,Holly,198103,2,1981042906,1,5.8,162.5,1003,12,,False
1981,Holly,198103,3,1981042912,1,6.1,162.3,1003,12,,False
1981,Holly,198103,4,1981042918,1,6.6,162.0,1003,15,,False
1981,Holly,198103,5,1981043000,1,7.1,161.5,1002,15,,False
1981,Holly,198103,6,1981043006,1,7.6,160.7,1002,15,,False
1981,Holly,198103,7,1981043012,1,8.1,159.6,1002,15,,False
1981,Holly,198103,8,1981043018,1,8.6,158.6,1002,15,,False
1981,Holly,198103,9,1981050100,2,9.1,157.4,1001,20,,False
1981,Holly,198103,10,1981050106,2,9.3,156.2,1001,20,,False
1981,Holly,198103,11,1981050112,2,9.3,155.2,1001,20,,False
1981,Holly,198103,12,1981050118,2,9.2,154.0,1001,20,,False
1981,Holly,198103,13,1981050200,2,9.6,153.3,1000,20,,False
1981,Holly,198103,14,1981050206,2,9.8,152.7,997,20,,False
1981,Holly,198103,15,1981050212,2,10.0,152.0,997,20,,False
1981,Holly,198103,16,1981050218,2,10.0,151.3,997,20,,False
1981,Holly,198103,17,1981050300,2,10.1,151.0,997,20,,False
1981,Holly,198103,18,1981050306,2,10.3,150.7,997,20,,False
1981,Holly,198103,19,1981050312,2,11.1,150.5,997,20,,False
1981,Holly,198103,20,1981050318,2,11.5,151.0,997,20,,False
1981,Holly,198103,21,1981050400,2,11.1,150.9,997,20,,False
1981,Holly,198103,22,1981050406,2,11.1,150.5,997,20,,False
1981,Holly,198103,23,1981050412,2,11.2,150.2,998,20,,False
1981,Holly,198103,24,1981050418,2,11.4,150.0,998,20,,False
1981,Holly,198103,25,1981050500,2,11.3,149.7,998,20,,False
1981,Holly,198103,26,1981050506,2,11.2,149.8,998,20,,False
1981,Holly,198103,27,1981050512,2,12.0,149.5,998,20,,False
1981,Holly,198103,28,1981050518,2,12.1,149.0,998,20,,False
1981,Holly,198103,29,1981050600,1,11.7,148.6,1000,15,,False
1981,Holly,198103,30,1981050606,1,11.7,148.0,1000,15,,False
1981,Holly,198103,31,1981050612,1,11.8,147.4,1000,15,,False
1981,Holly,198103,32,1981050618,1,11.9,146.9,1000,12,,False
1981,Holly,198103,33,1981050700,0,12.0,146.4,1004,10,,False
1981,Holly,198103,34,1981050706,0,12.0,145.5,1004,10,,False
1981,Holly,198103,35,1981050712,0,12.0,144.7,1006,10,,False
1981,Holly,198103,36,1981050718,0,12.0,143.9,1006,10,,False
1981,Holly,198103,37,1981050800,0,12.0,143.2,1007,10,,False
1981,Holly,198103,38,1981050806,0,12.0,142.0,1007,10,,False
1981,Ike,198104,1,1981060712,0,17.3,118.3,1003,10,,False
1981,Ike,198104,2,1981060718,0,17.4,117.3,1003,10,,False
1981,Ike,198104,3,1981060800,1,17.8,116.5,1002,12,,False
1981,Ike,198104,4,1981060806,1,17.9,115.9,1000,15,,False
1981,Ike,198104,5,1981060812,1,18.0,115.0,998,15,,False
1981,Ike,198104,6,1981060818,1,17.9,113.3,998,15,,False
1981,Ike,198104,7,1981060900,1,17.3,112.0,998,15,,False
1981,Ike,198104,8,1981060906,2,17.2,111.8,996,20,,False
1981,Ike,198104,9,1981060912,2,17.0,111.5,995,20,,False
1981,Ike,198104,10,1981060918,3,17.1,111.2,993,25,,False
1981,Ike,198104,11,1981061000,3,17.2,111.0,993,25,,False
1981,Ike,198104,12,1981061006,3,17.4,110.9,993,25,,False
1981,Ike,198104,13,1981061012,3,17.7,111.1,993,25,,False
1981,Ike,198104,14,1981061018,3,17.9,111.4,993,25,,False
1981,Ike,198104,15,1981061100,3,18.1,111.7,990,25,,False
1981,Ike,198104,16,1981061106,3,18.3,112.3,990,25,,False
1981,Ike,198104,17,1981061112,3,18.5,113.0,985,25,,False
1981,Ike,198104,18,1981061118,3,18.8,113.8,985,25,,False
1981,Ike,198104,19,1981061200,3,19.3,114.5,980,30,,False
1981,Ike,198104,20,1981061206,3,19.7,116.0,975,30,,False
1981,Ike,198104,21,1981061212,3,20.4,117.4,967,30,,False
1981,Ike,198104,22,1981061218,3,21.0,118.8,970,30,,False
1981,Ike,198104,23,1981061300,3,22.0,120.1,970,30,,False
1981,Ike,198104,24,1981061306,3,23.0,121.0,974,30,,False
1981,Ike,198104,25,1981061312,3,23.9,121.9,980,25,,False
1981,Ike,198104,26,1981061318,3,25.4,121.9,984,25,,False
1981,Ike,198104,27,1981061400,3,26.8,122.6,985,30,,False
1981,Ike,198104,28,1981061406,3,27.8,123.4,990,25,,False
1981,Ike,198104,29,1981061412,2,28.0,124.5,992,20,,False
1981,Ike,198104,30,1981061418,1,27.9,125.6,998,15,,False
1981,Ike,198104,31,1981061500,9,28.5,126.5,1000,15,,False
1981,Ike,198104,32,1981061506,9,28.9,125.0,1000,15,,False
1981,Ike,198104,33,1981061512,9,30.0,125.2,1002,15,,False
1981,Ike,198104,34,1981061518,9,30.5,125.9,1002,15,,False
1981,Ike,198104,35,1981061600,9,30.7,126.4,1004,10,,False
1981,Ike,198104,36,1981061606,9,31.0,127.2,1004,10,,False
1981,Ike,198104,37,1981061612,9,31.6,127.7,1006,9,,False
1981,Ike,198104,38,1981061618,9,32.2,128.0,1006,9,,False
1981,Ike,198104,39,1981061700,9,32.9,127.7,1007,9,,False
1981,Ike,198104,40,1981061706,9,33.6,127.5,1007,9,,False
1981,Ike,198104,41,1981061712,9,34.1,127.9,1007,9,,False
1981,June,198105,1,1981061518,0,12.0,132.0,1004,10,,False
1981,June,198105,2,1981061600,0,13.4,132.0,1004,10,,False
1981,June,198105,3,1981061606,0,14.7,131.7,1002,10,,False
1981,June,198105,4,1981061612,0,14.7,130.9,1002,10,,False
1981,June,198105,5,1981061618,0,14.0,130.4,1002,10,,False
1981,June,198105,6,1981061700,1,13.0,130.2,1000,15,,False
1981,June,198105,7,1981061706,1,14.0,131.0,995,15,,False
1981,June,198105,8,1981061712,2,15.4,130.3,995,20,,False
1981,June,198105,9,1981061718,2,16.4,129.5,995,20,,False
1981,June,198105,10,1981061800,3,17.5,128.3,993,25,,False
1981,June,198105,11,1981061806,3,18.7,127.1,980,30,,False
1981,June,198105,12,1981061812,3,19.2,126.1,980,30,,False
1981,June,198105,13,1981061818,4,19.9,125.0,970,35,,False
1981,June,198105,14,1981061900,4,20.3,124.3,970,35,,False
1981,June,198105,15,1981061906,4,20.8,123.4,965,35,,False
1981,June,198105,16,1981061912,4,21.3,123.0,965,35,,False
1981,June,198105,17,1981061918,4,21.8,122.7,963,40,,False
1981,June,198105,18,1981062000,4,22.8,122.7,962,40,,False
1981,June,198105,19,1981062006,4,24.1,122.0,965,35,,False
1981,June,198105,20,1981062012,3,24.7,121.5,980,30,,False
1981,June,198105,21,1981062018,3,25.6,121.3,980,30,,False
1981,June,198105,22,1981062100,3,26.6,121.6,980,30,,False
1981,June,198105,23,1981062106,3,28.1,122.6,985,25,,False
1981,June,198105,24,1981062112,2,28.6,123.4,990,20,,False
1981,June,198105,25,1981062118,2,29.4,124.3,990,20,,False
1981,June,198105,26,1981062200,2,30.4,124.8,990,20,,False
1981,June,198105,27,1981062206,2,32.3,127.1,994,20,,False
1981,Kelly,198106,1,1981062700,0,12.5,141.5,1010,0,,False
1981,Kelly,198106,2,1981062706,0,12.5,140.0,1010,0,,False
1981,Kelly,198106,3,1981062712,0,13.2,138.8,1010,0,,False
1981,Kelly,198106,4,1981062718,0,13.5,137.5,1008,10,,False
1981,Kelly,198106,5,1981062800,0,13.5,136.3,1008,10,,False
1981,Kelly,198106,6,1981062806,1,13.5,135.0,1005,12,,False
1981,Kelly,198106,7,1981062812,1,13.4,134.2,1005,12,,False
1981,Kelly,198106,8,1981062818,1,13.3,133.3,1005,12,,False
1981,Kelly,198106,9,1981062900,1,13.1,132.6,1005,12,,False
1981,Kelly,198106,10,1981062906,1,13.2,131.5,1005,12,,False
1981,Kelly,198106,11,1981062912,1,13.6,130.5,1004,15,,False
1981,Kelly,198106,12,1981062918,1,13.7,129.2,1004,15,,False
1981,Kelly,198106,13,1981063000,1,13.9,127.8,1002,15,,False
1981,Kelly,198106,14,1981063006,2,13.9,125.7,998,20,,False
1981,Kelly,198106,15,1981063012,3,14.0,123.7,996,25,,False
1981,Kelly,198106,16,1981063018,2,13.7,122.4,996,20,,False
1981,Kelly,198106,17,1981070100,2,13.8,121.2,996,20,,False
1981,Kelly,198106,18,1981070106,2,13.6,120.0,996,20,,False
1981,Kelly,198106,19,1981070112,2,13.7,118.9,994,20,,False
1981,Kelly,198106,20,1981070118,2,13.9,117.4,992,20,,False
1981,Kelly,198106,21,1981070200,3,14.1,116.4,985,25,,False
1981,Kelly,198106,22,1981070206,3,14.4,115.6,981,30,,False
1981,Kelly,198106,23,1981070212,3,14.9,114.5,980,30,,False
1981,Kelly,198106,24,1981070218,4,15.7,113.9,975,35,,False
1981,Kelly,198106,25,1981070300,5,16.8,112.8,964,45,,False
1981,Kelly,198106,26,1981070306,5,17.3,111.4,962,45,,False
1981,Kelly,198106,27,1981070312,5,17.7,110.7,965,45,,False
1981,Kelly,198106,28,1981070318,5,18.3,109.7,965,45,,False
1981,Kelly,198106,29,1981070400,4,18.7,108.5,980,35,,False
1981,Kelly,198106,30,1981070406,3,19.0,107.6,985,30,,False
1981,Kelly,198106,31,1981070412,3,19.2,106.8,985,30,,False
1981,Kelly,198106,32,1981070418,3,19.3,105.6,985,30,,False
1981,Kelly,198106,33,1981070500,2,19.3,105.0,994,20,,False
1981,Kelly,198106,34,1981070506,1,19.3,103.5,995,15,,False
1981,Kelly,198106,35,1981070512,1,19.7,102.4,995,12,,False
1981,Lynn,198107,1,1981070100,0,8.5,139.5,1007,0,,False
1981,Lynn,198107,2,1981070106,0,8.5,137.5,1005,0,,False
1981,Lynn,198107,3,1981070112,0,8.5,136.0,1005,0,,False
1981,Lynn,198107,4,1981070118,0,8.6,134.5,1005,10,,False
1981,Lynn,198107,5,1981070200,0,9.0,133.0,1005,10,,False
1981,Lynn,198107,6,1981070206,1,9.7,130.5,1005,12,,False
1981,Lynn,198107,7,1981070212,1,10.9,129.0,1004,15,,False
1981,Lynn,198107,8,1981070218,1,12.0,128.0,1000,15,,False
1981,Lynn,198107,9,1981070300,2,12.3,127.2,998,20,,False
1981,Lynn,198107,10,1981070306,2,13.2,125.8,992,20,,False
1981,Lynn,198107,11,1981070312,2,14.0,123.9,992,20,,False
1981,Lynn,198107,12,1981070318,3,14.5,123.0,990,25,,False
1981,Lynn,198107,13,1981070400,3,15.0,122.4,990,25,,False
1981,Lynn,198107,14,1981070406,3,15.3,121.7,990,25,,False
1981,Lynn,198107,15,1981070412,3,15.8,120.8,990,25,,False
1981,Lynn,198107,16,1981070418,3,16.3,120.0,990,25,,False
1981,Lynn,198107,17,1981070500,3,17.1,119.0,990,25,,False
1981,Lynn,198107,18,1981070506,3,18.2,117.7,990,25,,False
1981,Lynn,198107,19,1981070512,3,18.9,117.0,990,25,,False
1981,Lynn,198107,20,1981070518,3,19.7,115.7,985,30,,False
1981,Lynn,198107,21,1981070600,3,20.0,114.8,980,30,,False
1981,Lynn,198107,22,1981070606,3,20.3,114.0,980,30,,False
1981,Lynn,198107,23,1981070612,3,20.9,113.5,980,30,,False
1981,Lynn,198107,24,1981070618,3,21.3,113.0,980,30,,False
1981,Lynn,198107,25,1981070700,3,21.9,112.6,986,30,,False
1981,Lynn,198107,26,1981070706,2,22.5,111.6,990,20,,False
1981,Lynn,198107,27,1981070712,2,23.0,110.4,995,20,,False
1981,Lynn,198107,28,1981070718,1,23.5,108.5,998,12,,False
1981,Lynn,198107,29,1981070800,0,23.6,106.5,1000,10,,False
1981,Maury,198108,1,1981071706,1,18.4,128.5,1000,12,,False
1981,Maury,198108,2,1981071712,1,18.4,129.2,1000,15,,False
1981,Maury,198108,3,1981071718,1,19.0,129.5,998,15,,False
1981,Maury,198108,4,1981071800,2,20.1,129.0,995,20,,False
1981,Maury,198108,5,1981071806,3,21.3,128.0,992,25,,False
1981,Maury,198108,6,1981071812,3,22.5,127.0,992,25,,False
1981,Maury,198108,7,1981071818,3,23.4,126.0,990,25,,False
1981,Maury,198108,8,1981071900,3,24.7,124.6,988,25,,False
1981,Maury,198108,9,1981071906,3,25.2,123.0,987,25,,False
1981,Maury,198108,10,1981071912,3,25.5,121.7,987,30,,False
1981,Maury,198108,11,1981071918,3,25.2,120.7,987,30,,False
1981,Maury,198108,12,1981072000,3,25.8,119.7,987,30,,False
1981,Maury,198108,13,1981072006,1,25.8,117.6,994,15,,False
1981,Maury,198108,14,1981072012,1,25.6,115.8,997,12,,False
1981,Maury,198108,15,1981072018,1,25.3,114.9,997,12,,False
1981,Maury,198108,16,1981072100,0,25.0,114.2,998,10,,False
1981,Maury,198108,17,1981072106,0,23.8,113.8,998,10,,False
1981,Maury,198108,18,1981072112,0,23.2,112.8,997,10,,False
1981,Maury,198108,19,1981072118,0,22.9,111.6,997,10,,False
1981,Maury,198108,20,1981072200,0,22.8,111.0,997,10,,False
1981,Maury,198108,21,1981072206,0,22.7,110.7,995,10,,False
1981,Maury,198108,22,1981072212,0,22.9,110.0,995,10,,False
1981,Maury,198108,23,1981072218,1,21.9,109.0,995,12,,False
1981,Maury,198108,24,1981072300,1,21.6,109.5,995,12,,False
1981,Maury,198108,25,1981072306,1,21.3,109.3,994,15,,False
1981,Maury,198108,26,1981072312,0,22.1,109.2,995,10,15,False
1981,Maury,198108,27,1981072318,0,22.8,109.4,995,10,15,False
1981,Maury,198108,28,1981072400,0,23.2,110.2,995,10,12,False
1981,Maury,198108,29,1981072406,0,24.2,110.3,996,10,,False
1981,Maury,198108,30,1981072412,0,25.4,111.2,997,10,,False
1981,Maury,198108,31,1981072418,0,26.0,112.5,998,10,,False
1981,Maury,198108,32,1981072500,0,27.3,112.0,1000,10,,False
1981,(nameless),198109,1,1981072100,1,24.0,123.8,1000,15,,False
1981,(nameless),198109,2,1981072106,1,24.6,123.6,1000,15,,False
1981,(nameless),198109,3,1981072112,1,24.6,123.6,1000,15,,False
1981,(nameless),198109,4,1981072118,1,25.0,123.0,998,15,,False
1981,(nameless),198109,5,1981072200,1,25.5,122.5,997,15,,False
1981,(nameless),198109,6,1981072206,2,26.1,122.0,995,20,,False
1981,(nameless),198109,7,1981072212,3,26.4,121.7,994,25,,False
1981,(nameless),198109,8,1981072218,2,26.8,121.5,994,20,,False
1981,(nameless),198109,9,1981072300,2,27.3,121.3,995,20,,False
1981,(nameless),198109,10,1981072306,2,28.3,121.0,996,20,,False
1981,(nameless),198109,11,1981072312,1,29.5,119.4,998,15,,False
1981,(nameless),198109,12,1981072318,1,29.8,117.6,998,15,,False
1981,(nameless),198109,13,1981072400,1,31.1,117.3,998,15,,False
1981,(nameless),198109,14,1981072406,1,31.4,117.1,998,15,,False
1981,(nameless),198109,15,1981072412,1,32.0,117.1,998,15,,False
1981,(nameless),198109,16,1981072418,1,32.5,116.6,998,15,,False
1981,(nameless),198109,17,1981072500,9,33.2,116.4,998,15,,False
1981,(nameless),198109,18,1981072506,9,33.6,116.8,998,15,,False
1981,(nameless),198109,19,1981072512,9,33.8,117.1,998,15,,False
1981,(nameless),198109,20,1981072518,9,33.8,117.1,1000,12,,False
1981,(nameless),198109,21,1981072600,9,34.1,117.2,1001,12,,False
1981,(nameless),198109,22,1981072606,9,34.7,117.4,999,15,,False
1981,(nameless),198109,23,1981072612,9,34.7,117.4,1000,15,,False
1981,(nameless),198109,24,1981072618,9,35.0,117.5,1000,15,,False
1981,(nameless),198109,25,1981072700,9,35.0,117.5,1000,15,,False
1981,(nameless),198109,26,1981072706,9,35.5,117.5,998,15,,False
1981,(nameless),198109,27,1981072712,9,36.7,117.9,998,15,,False
1981,(nameless),198109,28,1981072718,9,37.5,118.4,1001,12,,False
1981,(nameless),198109,29,1981072800,9,39.0,120.5,1001,12,,False
1981,(nameless),198110,1,1981071918,0,25.5,147.0,1008,0,,False
1981,(nameless),198110,2,1981072000,0,26.5,146.8,1006,0,,False
1981,(nameless),198110,3,1981072006,0,27.5,146.4,1004,10,,False
1981,(nameless),198110,4,1981072012,1,28.4,145.4,1004,12,,False
1981,(nameless),198110,5,1981072018,1,29.2,144.4,1004,12,,False
1981,(nameless),198110,6,1981072100,1,30.0,143.5,1002,15,,False
1981,(nameless),198110,7,1981072106,1,30.6,142.6,1002,15,,False
1981,(nameless),198110,8,1981072112,1,31.6,142.5,1002,15,,False
1981,(nameless),198110,9,1981072118,1,32.5,142.6,1002,15,,False
1981,(nameless),198110,10,1981072200,1,33.2,143.2,1000,15,,False
1981,(nameless),198110,11,1981072206,1,33.7,143.7,1000,15,,False
1981,(nameless),198110,12,1981072212,1,34.7,144.8,1000,15,,False
1981,(nameless),198110,13,1981072218,1,36.3,146.0,1000,15,,False
1981,Ogden,198111,1,1981072612,0,21.7,150.2,1005,10,,False
1981,Ogden,198111,2,1981072618,1,22.4,149.6,1005,12,,False
1981,Ogden,198111,3,1981072700,1,23.0,149.0,1002,15,,False
1981,Ogden,198111,4,1981072706,1,23.5,148.5,998,15,,False
1981,Ogden,198111,5,1981072712,1,23.9,148.0,998,15,,False
1981,Ogden,198111,6,1981072718,1,24.3,147.5,997,15,,False
1981,Ogden,198111,7,1981072800,1,24.7,147.0,995,15,,False
1981,Ogden,198111,8,1981072806,2,25.3,145.9,992,20,,False
1981,Ogden,198111,9,1981072812,2,26.1,144.6,990,20,,False
1981,Ogden,198111,10,1981072818,2,26.9,143.4,987,20,,False
1981,Ogden,198111,11,1981072900,3,27.7,142.1,985,25,,False
1981,Ogden,198111,12,1981072906,3,28.3,140.9,984,25,,False
1981,Ogden,198111,13,1981072912,3,28.8,139.4,981,25,,False
1981,Ogden,198111,14,1981072918,3,29.4,138.2,982,25,,False
1981,Ogden,198111,15,1981073000,3,29.9,136.5,984,25,,False
1981,Ogden,198111,16,1981073006,3,30.6,134.7,980,30,,False
1981,Ogden,198111,17,1981073012,3,31.2,132.7,976,30,,False
1981,Ogden,198111,18,1981073018,3,32.0,131.0,985,25,,False
1981,Ogden,198111,19,1981073100,2,32.8,129.4,990,20,,False
1981,Ogden,198111,20,1981073106,2,33.3,128.0,992,20,,False
1981,Ogden,198111,21,1981073112,2,34.2,126.9,992,20,,False
1981,Ogden,198111,22,1981073118,1,35.0,125.6,995,15,,False
1981,Ogden,198111,23,1981080100,1,36.0,125.0,997,15,,False
1981,Ogden,198111,24,1981080106,1,37.4,124.8,1002,12,,False
1981,Ogden,198111,25,1981080112,1,38.8,124.8,1005,12,,False
1981,Ogden,198111,26,1981080118,0,40.0,125.0,1004,10,,False
1981,Phyllis,198112,1,1981073118,0,16.0,139.5,1000,10,,False
1981,Phyllis,198112,2,1981080100,1,17.0,140.5,996,12,,False
1981,Phyllis,198112,3,1981080106,1,18.0,142.0,996,12,,False
1981,Phyllis,198112,4,1981080112,1,19.1,143.0,995,15,,False
1981,Phyllis,198112,5,1981080118,1,19.7,144.5,996,15,,False
1981,Phyllis,198112,6,1981080200,2,20.5,145.5,995,20,,False
1981,Phyllis,198112,7,1981080206,2,22.0,145.2,994,20,,False
1981,Phyllis,198112,8,1981080212,2,23.5,145.0,993,20,,False
1981,Phyllis,198112,9,1981080218,2,24.8,145.8,990,20,,False
1981,Phyllis,198112,10,1981080300,2,26.0,146.4,990,20,,False
1981,Phyllis,198112,11,1981080306,2,27.7,146.7,990,20,,False
1981,Phyllis,198112,12,1981080312,2,29.2,146.6,985,20,,False
1981,Phyllis,198112,13,1981080318,2,31.0,147.0,985,20,,False
1981,Phyllis,198112,14,1981080400,2,31.7,145.8,985,20,,False
1981,Phyllis,198112,15,1981080406,2,33.1,145.3,985,20,,False
1981,Phyllis,198112,16,1981080412,3,34.5,145.0,980,25,,False
1981,Phyllis,198112,17,1981080418,3,35.9,145.1,980,25,,False
1981,Phyllis,198112,18,1981080500,3,37.1,145.0,980,25,,False
1981,Phyllis,198112,19,1981080506,3,38.5,145.0,975,30,,False
1981,Phyllis,198112,20,1981080512,3,40.0,145.0,980,25,,False
1981,Phyllis,198112,21,1981080518,3,43.0,143.5,980,25,,False
1981,Phyllis,198112,22,1981080600,9,47.0,140.0,985,20,,False
1981,Phyllis,198112,23,1981080606,9,47.5,137.5,984,15,,False
1981,Phyllis,198112,24,1981080612,9,48.0,135.0,984,15,,False
1981,Roy,198113,1,1981080200,0,13.0,112.0,1002,10,,False
1981,Roy,198113,2,1981080206,1,13.5,112.5,1000,12,,False
1981,Roy,198113,3,1981080212,1,13.6,113.3,1000,12,,False
1981,Roy,198113,4,1981080218,1,14.0,113.9,1000,12,,False
1981,Roy,198113,5,1981080300,1,14.5,114.5,1000,12,,False
1981,Roy,198113,6,1981080306,1,15.5,114.5,1000,15,,False
1981,Roy,198113,7,1981080312,1,15.8,114.0,999,15,,False
1981,Roy,198113,8,1981080318,1,15.3,114.2,999,15,,False
1981,Roy,198113,9,1981080400,1,15.0,114.5,997,15,,False
1981,Roy,198113,10,1981080406,1,15.1,115.0,997,15,,False
1981,Roy,198113,11,1981080412,1,15.1,115.0,996,15,,False
1981,Roy,198113,12,1981080418,2,15.4,115.7,995,20,,False
1981,Roy,198113,13,1981080500,2,15.8,116.1,993,20,,False
1981,Roy,198113,14,1981080506,2,16.3,116.7,993,20,,False
1981,Roy,198113,15,1981080512,2,16.7,117.2,992,20,,False
1981,Roy,198113,16,1981080518,2,17.4,117.5,990,20,,False
1981,Roy,198113,17,1981080600,3,18.0,118.0,990,25,,False
1981,Roy,198113,18,1981080606,3,18.6,118.4,986,25,,False
1981,Roy,198113,19,1981080612,2,19.4,118.5,990,20,,False
1981,Roy,198113,20,1981080618,2,20.0,118.3,990,20,,False
1981,Roy,198113,21,1981080700,2,20.4,118.0,993,20,,False
1981,Roy,198113,22,1981080706,2,20.6,117.5,995,20,,False
1981,Roy,198113,23,1981080712,2,20.5,117.0,995,20,,False
1981,Roy,198113,24,1981080718,1,20.2,116.4,998,15,,False
1981,Roy,198113,25,1981080800,1,19.8,115.8,998,15,,False
1981,Roy,198113,26,1981080806,1,19.5,115.2,998,15,,False
1981,Roy,198113,27,1981080812,1,19.2,114.3,998,15,,False
1981,Roy,198113,28,1981080818,1,18.8,113.5,998,12,,False
1981,Roy,198113,29,1981080900,1,18.6,112.5,997,12,,False
1981,Roy,198113,30,1981080906,1,18.7,111.4,995,12,,False
1981,Roy,198113,31,1981080912,1,19.0,110.3,995,12,,False
1981,Roy,198113,32,1981080918,1,19.0,109.2,996,12,,False
1981,Roy,198113,33,1981081000,1,19.5,108.0,996,12,,False
1981,Roy,198113,34,1981081006,0,19.7,107.0,997,10,,False
1981,Roy,198113,35,1981081012,0,20.0,104.5,997,10,,False
1981,(nameless),198114,1,1981080200,1,16.4,133.0,1003,12,,False
1981,(nameless),198114,2,1981080206,1,16.7,133.5,1000,12,,False
1981,(nameless),198114,3,1981080212,1,17.0,134.1,1000,12,,False
1981,(nameless),198114,4,1981080218,1,17.3,134.8,1000,12,,False
1981,(nameless),198114,5,1981080300,1,17.5,135.5,998,15,,False
1981,(nameless),198114,6,1981080306,1,17.8,136.9,995,15,,False
1981,(nameless),198114,7,1981080312,1,18.4,138.2,992,15,,False
1981,(nameless),198114,8,1981080318,1,19.4,140.0,992,15,,False
1981,(nameless),198114,9,1981080400,1,20.7,141.7,992,15,,False
1981,(nameless),198114,10,1981080406,1,22.3,143.4,991,15,,False
